text,complexity,taboo_word_0,taboo_word_1,taboo_word_2,taboo_word_3,taboo_word_4,taboo_word_5,taboo_word_6,taboo_word_7,taboo_word_8,taboo_word_9
سقف,1,خانه,دیوار,ساختمان,محافظت,باران,بام,فضا,سایه,عایق,ساخت
در,1,زیر,بالا,کنار,پایین,میان,دور,فضا,افقی,عمودی,مرکز
پنجره,1,شیشه,باز کردن,بستن,نور,منظر,خارج,فضا,خانه,دکوراسیون,تهویه
شیروانی,2,سقف,خانه,پوشش,ساختمان,مقعر,پشت بام,عایق,بام,کفشک,چوبی
گلدان,1,گیاه,دکور,طبیعت,جنگل,خانه,شکل,خاک,آب,پرورش,دسته
پله,1,سکو,بالا,پایین,حرکت,بلندی,اقدام,عقب,سطح,دوستانه,پیاده‌روی
ستون,1,ساختمان,معماری,پایه,محوری,ساخت,تکیه‌گاه,دیواره,فونداسیون,سازه,استحکام
دیوار,1,سازه,حایل,محفظه,فضا,معماری,پناه,پوشش,مکان,نگهداری,دو طرفه
آسانسور,1,بالا,پایین,حمل,سفر,طبقه,سازه,مکان,وسیله,نصب,حرکت
مبل راحتی,2,صندلی,نشیمن,استراحت,نرم,کاناپه,سرویس,چشمگیر,داخل,دورهمی,دکوراسیون
کاناپه,2,مبلمان,نشستن,اتاق نشیمن,راحتی,راز,تزیین,خواب,فضا,چند نفره,پارچه
صندلی,1,مبلمان,نشستن,راحتی,جایگاه,چوبی,دکوراسیون,پشتی,زیرپایی,غذاخوری,دفتر
لوستر,1,چراغ,آویز,نور,تزیینی,سقف,دکوراسیون,اتاق,شکوه,زیبایی,خانه
آباژور,2,نور,تزیینی,غیرمستقیم,بخشیدن,چراغ,دکوراسیون,تاریکی,پایه,اتاق,راحتی
لامپ,1,نور,برق,چراغ,روشنایی,محل,ایجاد,طولانی,اتاق,الکتریسیته,بخاری
پارکت,2,کفپوش,چوب,خانه,دکوراسیون,سخت,پوشش,زیبایی,لوکس,نصب,طبیعی
قالی,1,فرش,نقشه,تار و پود,گلیم,دستباف,زری بافی,کفپوش,زینتی,بافت,غیر ماشینی
فرش,1,تخت,زیرپایی,موکت,پشمی,نقش,خانه,کف,دستباف,تزیینی,رنگین
میز,1,صندلی,چای,غذا,محل,کار,ن قلم,کتاب,مهمانی,صفحه,بازی
کمد,1,اثاثیه,سازماندهی,فضا,چمدان,دکوری,وسایل,ساخت,اتاق,پنهان,رف
پنکه,1,هوا,سرما,چرخش,تهویه,برقی,فصل تابستان,خنک کننده,صدای وزوز,اجاق,پره
کولر,1,هوا,سرد,دما,فن,رطوبت,خنک,پد,برق,تعمیر,آب
میز تلویزیون,2,مبلمان,پذیرایی,سینما خانگی,صفحه نمایش,دکوراسیون,قرار دادن,تلویزیون,فناوری,شبکه,فضای خانه
تلویزیون,1,سریال,فیلم,پخش,صفحه,برنامه,مخاطب,ویدئو,دوربین,ریموت,محل
شمع,1,آتش,نور,موم,نقش,روشنی,جشن,زینت,شعله,رنگی,بوی خوش
سرامیک,2,چینی,کاشی,شیشه,کاردستی,خاک,دکور,محصول,قاب,مقاوم,سطح
کاشی,2,سرامیک,دکوراسیون,کف,طرح,نقش,آشپزخانه,اتاق,سبک,ساختمان,چسب
کوسن,1,متکا,نرمی,دکوراسیون,پشتی,استراحت,خواب,فرش,مبلمان,تزیینی,لوکس
پرده,1,پوشش,پنجره,حریم,خصوصی,زیبا,دکوراسیون,پارچه,فضا,سفارشی,سردری
تابلو نقاشی,2,هنر,رنگ,قلم,بوم,تصویر,خالق,سياهی,ایده,چشم‌انداز,تجسم
تلفن ,1,ارتباط,تماس,صدا,پیام,مکالمه,نقدی,فشاری,سیم,خودکار,آنتن
کتاب,1,ورق,کتابخانه,خواندن,نویسنده,محتوا,داستان,علمی,صفحه,ترجمه,الکترونیکی
کنترل تلویزیون,2,ریموت,صفحه نمایش,دستگاه,سیگنال,تلویزیون,خاموش,چنل,صدای,تنظیم,پخش
کلید برق,2,چشمک,برق,روشن,خاموش,دکمه,سوئیچ,میزان,جریان,تعبیه,کابل
تخت,1,خواب,سرویس,تشک,اتاق,فرش,فراش,استراحت,مبلمان,استراحتگاه,چیدمان
بالشت,1,خوابیدن,سر,نرم,راحتی,خوابگاه,بالا,تکیه,نیمکت,پوشش,جنس
پتو,1,بخاری,سرد,خواب,نرمی,پوشش,تخت,شب,کف,دمای بدن,جنس
نوار چسب,2,چسب,سیاه,چسبیدن,کاغذ,محکم,سوراخ,درز,پلاستیک,پوشاندن,تعمیر
چسب زخم,1,زخم,استفاده,درمان,چسب,پانسمان,بیماری,جراحت,پوشاندن,خون,محافظت
کپسول آتش نشانی,3,آتش,خاموش‌کننده,ایمنی,حریق,خبرنگاری,آتش‌سوزی,جعبه,فشار,فایر,محافظت
