text,complexity
سقف,1
در,1
پنجره,1
شیروانی,2
گلدان,1
پله,1
ستون,1
دیوار,1
آسانسور,1
مبل راحتی,2
کاناپه,2
صندلی,1
لوستر,1
آباژور,2
لامپ,1
پارکت,2
قالی,1
فرش,1
میز,1
کمد,1
پنکه,1
کولر,1
میز تلویزیون,2
تلویزیون,1
شمع,1
سرامیک,2
کاشی,2
کوسن,1
پرده,1
تابلو نقاشی,2
تلفن ,1
کتاب,1
کنترل تلویزیون,2
کلید برق,2
تخت,1
بالشت,1
پتو,1
نوار چسب,2
چسب زخم,1
کپسول آتش نشانی,3
مداد ,1
خودکار,1
ماژیک,1
چمدان,1
سی دی,1
قمقمه,1
دی وی دی,2
عروسک,1
مجسمه,1
ماشین حساب,1
شوفاژ,1
بخاری,1
شومینه,1
آچار فرانسه,2
پیچ گوشتی,1
دسته کلید,2
کیف,1
لیوان,1
فلش,1
چکش,1
سماور,1
قوری,1
کتری,1
ساعت دیواری,2
تِی,2
جارو,1
قابلمه,1
ماهی تابه,1
پیرکس,2
ملامین,2
پارچ آب,2
آجیل خوری,2
زیر بشقابی,2
تخته گوشت,2
نمکدان,1
قاشق,1
چنگال,1
چاقو,1
درب باز کن,2
قالب شیرینی پزی,3
رنده,1
پوست گیر,2
ترازو,1
آبکش,1
سینی,1
پیش دستی,2
زیر سیگاری,2
همزن دستی,2
همزن برقی,2
کباب پز,2
منقل,1
آبپاش,1
بند رخت,2
گاز,1
قندشکن,1
سبد,1
کلمن,2
سفره ,1
قندان,1
فندک,1
پیش بند,2
کیسه فریزر,2
کیسه زباله,2
کبریت,1
اسپند دود کن,2
سیخ کباب,2
چای صاف کن,3
وردنه,2
کشو,1
دم کنی,1
جا نونی,2
قیف,1
گردو شکن,2
چهار پایه,2
آبمیوه گیری,2
توری کباب پز,3
فنجان,1
ساتور,1
ماکروویو,1
سفره پاک کن,2
چاقو تیزکن,3
تشک,1
میز آرایش,2
مبل استیل,2
میز عسلی,2
میز کامپیوتر,2
میز مطالعه,2
جاکلیدی,2
جاکفشی,2
میز تلفن,2
پشتی,2
رخت خواب,2
آینه و شمعدان,2
گلیم,2
دراور,2
کمد لباس,2
چرخ خیاطی,1
جعبه ابزار,2
دریل,2
متر,1
اره آهن بر,3
میخ,1
پیچ  ,1
واشر,2
رولپلاک,3
کاغذ سنباده,3
چسب آکواریوم,2
چسب دوقلو,2
روغن دان,2
آچار لوله گیر,3
سیم چین,2
چراغ قوه,1
قفل ,1
دم باریک,2
تیغ موکت بری,3
باتری قلمی,2
سه راهی برق,3
لامپ کم مصرف,2
لحاف,1
ملحفه,1
حوله حمام,1
حوله دستشویی,1
پادری,2
آینه  ,1
خاک انداز,2
آفتابه,1
چوب لباسی,2
مسواک,1
مگس کش,1
بوگیر,2
سنگ پا,2
اسکاچ,1
سیم ظرفشویی,2
تشت,1
جارو دستی,2
رو فرشی,2
شیشه پاک کن,2
لوازم تحریر,2
کاغذ A4,1
منگنه,1
مدادتراش,1
خط کش,1
پونز,2
کاغذ یادداشت,2
دفترچه تلفن,3
شابلون,2
توپ فوتبال,2
توپ والیبال,2
پاکت نامه,2
نقشه شهر,2
زیرانداز,2
چادر مسافرتی,2
گاز پیک نیک,2
جعبه لوازم خیاطی,3
چتر,1
تابلو فرش,2
میز اتو,2
پاشنه کش,1
آبنما,2
دمپایی,1
ادکلن,1
یخچال,1
ماشین لباسشویی,2
ماشین ظرفشویی,2
چراغ مطالعه,1
وب,2
مرورگر,2
موبایل,2
تلگرام,1
اینستاگرام,2
فالوور,1
لایک,2
کانال تلگرام,2
استیکر,2
آنلاین,2
رایانه,2
کامپیوتر,2
ماشین,2
GPS,1
wifi,1
اینترنت,2
اطلاعات,2
حافظه داخلی,2
مموری,2
بلوتوث,1
سیستم عامل,2
سخت افزار,1
نرم افزار,1
اپلیکیشن,2
تبلت,1
اپل  ,1
موس,1
کیبورد,2
مانیتور,2
تاچ,1
فتوشاپ,1
هندزفری,2
هدست,1
بازار,1
اس ام اس,1
دیوار,2
گوگل,1
یاهو,2
فیسبوک,2
یوتیوب,2
ویکی پدیا,3
آمازون,1
توییتر,2
آپارات,2
دی جی کالا,2
موزیلا ,3
گوگل کروم,2
باتری,2
وایبر,2
سی دی,2
ویبره,2
سلفی,2
سایت,2
وبلاگ,3
کپشن,2
اندروید ,2
ios,1
ویندوز فون,3
پاوربانک,1
مونوپاد,1
شارژر,1
کابل گوشی,3
قلم لمسی,3
لپ تاپ,1
ایسوس,2
توشیبا,3
دل,1
سونی,2
نوکیا,2
اچ تی سی,2
سامسونگ,1
دوربین,2
فلش,1
canon,1
نیکون,3
لنز دوربین,2
کارت حافظه,3
کارت گرافیک,3
کیس,2
اسپیکر,2
کارت شبکه,3
هارد اکسترنال,2
پرینتر,2
اسکنر,2
لیزر,2
تخته هوشمند,2
اِل جی,2
بلندگو,1
سینما خانگی,2
کلیک,2
share,2
اسکلت,2
مفصل,2
رباط,1
ماهیچه,2
تاندون,2
دهان,1
دندان,1
زبان,1
غدد بزاقی,3
حلق,2
مری,2
معده,1
روده کوچک,1
روده بزرگ,1
کبد,1
کیسه صفرا,2
حنجره,1
ریه,2
کلیه,2
غده هیپوفیز,2
قلب,1
مویرگ,2
مغز استخوان,2
مغز  ,1
مخچه,1
عصب ,2
نخاع,1
چشم,1
قرنیه,2
عدسی,2
گوش,1
لاله گوش,1
پرده گوش,1
حلزون گوش,2
زبان,1
پوست,1
گردش خون,2
گلبول سفید,2
گلبول قرمز,1
خشم,2
هیجان,2
نگرانی,3
ترس,1
افسردگی,2
تنهایی,2
احترام,1
تاسف,3
سرما خوردن,1
آغوش,1
دپرس,2
شکست عشقی,3
عشق,1
پوز خند,3
اشک شوق,1
گریه و زاری,2
عرق سرد,1
چشمک,1
بوسیدن,2
تفکر,2
امیدوار,2
باور,3
خواب,1
خواب آلود,1
چُرت,1
خمیازه,2
خنده,1
اخمو,1
عصبانی,2
سر بلند,2
پیروز,2
چانه,1
کودن,2
درونگرا,2
برونگرا,2
سازگار,3
قدرت,1
حریم شخصی,3
بازو,1
شانه,1
سوزش,2
خارش,1
درد,1
انتخاب,1
تظاهر,3
اعتقاد,2
نگرش,3
انرژی مثبت,2
انرژی منفی,3
حس بویایی,2
حس چشایی,2
حس شنوایی,2
حس لامسه,1
حس بینایی,2
غریزه,3
بالغ,2
جوان,1
نوجوان,1
میانسال,2
کودک,1
زیر چشمی,2
اعتماد به نفس,2
سخن,2
کلام,3
گفت و گو,1
مشاجره,3
رسمی,2
غیر رسمی,3
سوء تفاهم,3
لبخند,1
لب و لوچه,2
جوگیر,3
آب و تاب,2
آرزو به دل,3
آس و پاس,3
آش و لاش,2
اسم و رسم,3
اصل مطلب,3
اصل کاری,3
انگشت به دهان ماندن,1
بابا قوری,3
زیر بار رفتن,3
بال بال زدن,1
بخت برگشته,3
بد ترکیب,3
بد جنس,2
بد قلق,3
چشم زدن,2
بد و بی راه,3
بربر نگاه کردن,3
بر بیابان,3
برملا,2
بروبیا,2
بساط,1
بگو مگو,3
آسمان خراش,2
دست انداختن,2
بند باز,2
بو بردن,3
بوسیدن,2
به محض,3
بی برو برگرد,3
بیخ,2
بیخودی,3
بی خیال,2
بی دردسر,3
بی سر و پا,3
دل و دماغ,2
بی عرضه,3
بی گدار,3
بی هوا,3
از پا درآوردن,3
از پا افتادن,3
شیربها,2
پچ پچ,1
پخ,1
پخمه,3
پرت و پلا,3
پرسان پرسان,3
پرس و جو,2
پرسه زدن,3
پس زدن,2
پف کردن,2
پَکر,3
پُک زدن,2
پک و پوز,3
پوزه,1
پول و پله,3
پیش دستی,2
پیش کش,3
تار و مار,2
تازه وارد,2
تپل مپل,2
خیال تخت,2
تخم چشم,1
تردستی,2
ترشیده,2
ترکه,2
ترکیدن,2
ترگل ورگل,3
تر و تمیز,2
فرز,2
تر و خشک,1
تقدیر,3
تک و تنها,2
تلافی کردن,2
به تله افتادن,3
تمام و کمال,3
تن دادن,3
تنگ آمدن,3
توبره,3
توپیدن,3
ته کشیدن,3
ته مانده,2
جا به جا,2
جا خالی,2
خالی بند,2
جادو جنبل,3
جارچی,3
جار زدن,3
جا زدن,3
جون به لب,3
جدا جدا,2
جر و بحث,2
جک و جونور,3
جلاد,2
جلز ولز,2
جمع و جور,1
جنبیدن,3
جنبنده,3
قات زدن,3
جور کردن,3
چارقد,1
چاق و چله,2
چال کردن,3
چپوندن,2
فلنگ را بستن,3
چراغ موشی,3
چرب زبانی,3
چریدن,2
چرت زدن,1
چرخ زدن,3
بزنم به تخته,1
چشم به راه,2
چشم غره,2
چشمه,1
چلاق,3
چله تابستان,2
چله زمستان,2
چماق,2
چم و خم,3
چندر غاز,3
چنگ انداختن,2
چونه زدن,1
چهار نعل,2
بچه مثبت,1
حال و هوا,2
حال و احوال,2
حال و روز,3
حالا حالاها,3
پدر سوخته,2
حرف کشیدن,3
حساب بردن,3
حسابی,2
حظ کردن,3
حقه زدن,3
حقه باز,3
حلال کردن,2
جیم شدن,3
حمال,2
حواس پرت,3
حیف شدن,3
خاطر خواه,3
دلبر,2
خاک سپاری,2
خاک و خل,3
خانه تکانی,2
خانه خراب,2
خجالت زده,3
خداخدا کردن,3
خرت و پرت,3
خر تو خر,1
خرخره,1
خرد و خاکشیر,3
خرد و خمیر,3
خر کردن,2
خرناس,2
خر و پف,1
خروس بی محل,2
خستگی در کردن,2
خشک زدن,3
خشک و خالی,2
خل و چل,3
خلاص شدن,3
خنگ بازی,3
خورجین,2
خوش و بش,3
خیز برداشتن,3
آمار دادن,1
آویزان بودن,2
پیچوندن,2
تو کف بودن,3
تیکه انداختن,2
خفن,3
سه سوت,1
سیاه بازی,2
ضایع شدن,2
فک زدن,2
لایی کشیدن,2
آشغال کله,2
اره ماهی,2
اسب دریایی,2
هشت پا,1
سفره ماهی,2
شاه ماهی,1
آخوندک,2
شیر ماهی,2
عروس دریایی,2
فُک,2
عقرب,1
قزل آلا,1
کوسه,1
مارمولک,1
مارماهی,1
ماهی,1
ماهی سفید,2
ماهی کپور,2
نهنگ,1
وال,1
سگ,1
گرگ,1
روباه,1
خرس,1
گاو  ,1
خرس قطبی,2
گوساله,1
قاطر,2
ببر,1
الاغ,1
گوسفند,1
شیر,1
پلنگ,1
بره,1
کفتار,2
بز,1
بزغاله,1
فیل,1
خوک,1
گراز,2
گورخر,1
زرافه,1
بوفالو,2
گربه,1
راکون,2
موش,1
راسو,1
خفاش,1
سگ آبی,1
سنجاب,1
کانگورو,1
خرس تنبل,1
خرگوش,1
جوجه تیغی,1
گوزن شمالی,2
موش کور,1
گورکن,2
گوزن,1
میگو,1
گوریل,1
میمون,1
شامپانزه,1
اسب آبی,1
موش صحرایی,2
مار,1
لاک پشت,1
سوسمار,1
تمساح,1
گاومیش,2
مرغ,1
اردک,1
کرم ابریشم,1
کبوتر,1
غاز,1
ماهی قرمز,1
قناری,1
طوطی,1
شتر,1
زنبور عسل,1
طاووس,1
مرغ عشق,2
قورباغه,1
قرقاول,2
حلزون,1
قو,1
شترمرغ,1
مگس,1
آفتاب پرست,1
شغال,1
کرگدن,2
یوزپلنگ,1
ملخ,1
مورچه  ,1
بلبل,1
پرستو,1
خرچنگ,1
لک لک,1
عقاب,1
کلاغ,1
مرغ ماهی خوار,2
پشه,1
خرمگس,1
سوسک,1
موریانه,1
کک,2
سنجاقک,1
شب پره,1
پروانه,1
جیرجیرک,1
خرخاکی,2
بلدرچین,2
پنگوئن,1
جغد,1
هدهد,1
خروس,1
دارکوب,1
زاغ,1
شاهین,1
فلامینگو,2
کاسکو,2
کرکس,2
گنجشک,1
مرغابی,1
آفتابگیر,2
آنتن ,1
آینه عقب,2
اتاق خوردو,3
استارت,1
قفل مرکزی,3
چراغ راهنما,1
چراغ ترمز,1
ترمز دستی,2
دنده,1
بادامک,2
باربند,1
باطری,2
باک,1
بخاری,2
برف پاک کن,1
بلبرینگ,3
بلندگو,1
سیلندر,2
بوش,2
بوق,1
پدال گاز,1
پدال ترمز,1
پدال کلاچ,1
پلاک,1
پلوس,3
پمپ آب,1
پمپ بنزین,2
گیربکس,2
کیلومترشمار,2
روکش صندلی,2
پیچ و مهره,2
ترمز  ,1
ترموستات,2
تیوپ,2
چرخ,1
جعبه دنده,2
جعبه فرمان,2
جلو پنجره,2
جَک,1
چراغ خطر,3
داشبورد,1
دزدگیر,2
دور موتور,2
آمپر آب,2
آمپر بنزین,2
رادیاتور,2
سرسیلندر,2
سوئیچ,2
سیفون بنزین,2
سیم ترمز,2
سیم کلاچ,2
شمع,1
دلکو,3
فرمان,1
فیلتر روغن,2
فیلتر بنزین,2
فیلتر هوا,2
جعبه فیوز,2
قفل فرمان,1
کاپوت ,1
کاربراتور,2
گلگیر,2
لِنت,2
لوله اگزوز,1
میل فرمان,2
میل لنگ,2
یاتاقان,2
تسمه دینام,3
کولر,1
ایربگ,2
ای بی اس,2
کروز کنترل,2
موتور,1
واشر,2
پنچر,1
پلاتین,2
پلوس,3
پراید,2
تیبا,2
بنز,1
پژو 405,1
زانتیا,2
پورشه,2
رولزرویس,2
فورد,2
شورولت,1
نیسان,2
تویوتا,2
هیوندا,2
پیکان,2
فراری,2
